#VIN,DIN,VOUT,DOUT,DOUT_correct,Error
0,0,0, , , ,
0,0,0, , , ,
0,0,0, , , ,
1,0,0, , , ,
0,0,0, , , ,
0,0,1,0,0,ok,
1,632,0, , , ,
1,0,0, , , ,
0,0,1,130,130,ok,
0,0,1,309,309,ok,
0,0,0, , , ,
1,1656,0, , , ,
0,1656,0, , , ,
0,1656,1,560,560,ok,
1,0,0, , , ,
0,0,0, , , ,
1,2047,1,830,830,ok,
1,-1,0, , , ,
0,-1,1,961,961,ok,
0,-1,1,1036,1036,ok,
0,-1,0, , , ,
0,-1,0, , , ,
1,1656,0, , , ,
0,1656,0, , , ,
0,1656,1,957,957,ok,
0,1656,0, , , ,
0,1656,0, , , ,
0,1656,0, , , ,
1,-1,0, , , ,
0,-1,0, , , ,
1,632,1,832,832,ok,
0,632,0, , , ,
1,-1,1,590,590,ok,
1,-633,0, , , ,
1,-1,1,314,314,ok,
1,-1657,1,-2,-2,ok,
0,-1657,1,-326,-326,ok,
0,-1657,1,-595,-595,ok,
1,-1,0, , , ,
0,-1,0, , , ,
1,-2048,1,-843,-843,ok,
1,0,0, , , ,
1,-1657,1,-963,-963,ok,
0,-1657,1,-1039,-1039,ok,
0,-1657,1,-963,-963,ok,
1,0,0, , , ,
1,-633,0, , , ,
1,0,1,-839,-839,ok,
0,0,1,-596,-596,ok,
0,0,1,-319,-319,ok,
0,0,0, , , ,
1,632,0, , , ,
0,632,0, , , ,
0,632,1,-4,-4,ok,
1,0,0, , , ,
1,1656,0, , , ,
1,0,1,320,320,ok,
0,0,1,589,589,ok,
1,2047,1,837,837,ok,
0,2047,0, , , ,
1,-1,1,957,957,ok,
0,-1,0, , , ,
1,1656,1,1033,1033,ok,
0,1656,0, , , ,
0,1656,1,957,957,ok,
0,1656,0, , , ,
0,1656,0, , , ,
0,1656,0, , , ,
1,-1,0, , , ,
1,632,0, , , ,
1,-1,1,833,833,ok,
0,-1,1,591,591,ok,
1,-633,1,314,314,ok,
0,-633,0, , , ,
1,-1,1,-2,-2,ok,
0,-1,0, , , ,
1,-1657,1,-326,-326,ok,
1,-1,0, , , ,
1,-2048,1,-595,-595,ok,
0,-2048,1,-843,-843,ok,
1,0,1,-963,-963,ok,
1,-1657,0, , , ,
0,-1657,1,-1039,-1039,ok,
0,-1657,1,-963,-963,ok,
0,-1657,0, , , ,
0,-1657,0, , , ,
1,0,0, , , ,
0,0,0, , , ,
0,0,1,-839,-839,ok,
1,-633,0, , , ,
0,-633,0, , , ,
1,0,1,-596,-596,ok,
1,632,0, , , ,
0,632,1,-319,-319,ok,
0,632,1,-4,-4,ok,
0,632,0, , , ,
1,0,0, , , ,
0,0,0, , , ,
1,1656,1,320,320,ok,
