DIN,fb,ff v,v1,v2, DOUT
,0,0,0,0,0,0,0
,39,0,0,39,0,0,0
,0,1,0,1,39,0,0
,103,1,0,104,1,39,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
,-104,1,-1,-103,0,-127,-2
,0,0,-1,0,-103,0,-1
,-40,1,-1,-39,0,-103,-2
,0,0,-1,0,-39,0,-1
,39,1,-1,40,0,-39,-1
,0,1,0,1,40,0,0
,103,1,0,104,1,40,0
,0,1,0,1,104,1,0
,127,1,0,128,1,104,0
,-1,1,0,0,128,1,0
,103,0,0,103,0,128,0
,-1,1,0,0,103,0,0
,39,0,0,39,0,103,0
,-1,1,0,0,39,0,0
,-40,0,0,-40,0,39,-1
,-1,0,-1,-1,-40,0,-2
,-104,1,-2,-103,-1,-40,-3
,-1,1,-2,0,-103,-1,-2
,-128,1,-1,-127,0,-103,-2
,0,0,-1,0,-127,0,-1
